city,job_title,company_name,summary,salary_lower,salary_upper
Sydney,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,salary,
Sydney,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary,
Sydney,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000","$85,000"
Melbourne,Data Scientist,Domain Group,As a Data Scientist,salary,
Melbourne,Data Scientist,ANZ Banking Group,As the Data Scientist,salary,
Melbourne,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary,
Melbourne,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000","$100,000"
Melbourne,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,"$70,000","$90,000"
Melbourne,Data Scientist,Investigations & Counter Terrorism,Data Scientist,salary,
Melbourne,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,salary,
Melbourne,Data Scientist,DataRobot,Data Scientist,salary,
Melbourne,Data Scientist,Datasii,Experience as a Data Scientist,"$100,000","$115,000"
Melbourne,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000","$110,000"
Melbourne,Data Scientist,Freshwater Group,The Data Scientist,salary,
Melbourne,Data Scientist,CPT Global,Strong experience working as a Data Scientist,salary,
Melbourne,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,salary,
Melbourne,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary,
Melbourne,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000","$85,000"
